IP,LAST_CHECK_TIME,PORT,POSITION,SPEED,TYPE
115.233.210.218,2018-12-03 11:30:36,808,中国 浙江省 杭州市 电信,1秒,HTTP
113.200.214.164,2018-12-03 10:31:01,9999,中国 陕西 西安 联通,1秒,HTTP
58.244.142.255,2018-12-03 09:29:54,80,中国 吉林省 长春市 联通,1秒,HTTP
117.141.155.243,2018-12-03 08:30:59,53281,中国 广西壮族自治区 南宁市 移动,2秒,HTTP
117.141.155.244,2018-12-03 07:30:59,53281,中国 广西壮族自治区 南宁市 移动,2秒,HTTP
115.233.210.218,2018-12-03 06:30:57,808,中国 浙江省 杭州市 电信,2秒,HTTP
123.139.56.238,2018-12-03 05:31:00,9999,中国 陕西省 西安市 联通,0.6秒,HTTP
223.85.196.75,2018-12-03 04:31:11,9797,中国 四川省 成都市 移动,2秒,HTTP
114.249.119.9,2018-12-03 03:31:04,9000,中国 北京 北京 联通,2秒,HTTP
14.20.235.123,2018-12-03 02:30:55,808,中国 广东 中山 电信,2秒,HTTP
222.217.19.248,2018-12-03 01:31:08,8080,广西壮族自治区柳州市  电信,2秒,HTTP
223.85.196.75,2018-12-03 00:31:04,9999,中国 四川省 成都市 移动,2秒,HTTP
119.57.108.89,2018-12-02 23:31:00,53281,中国 北京市 北京市 联通,2秒,HTTP
123.56.151.10,2018-12-02 22:31:00,9999,中国 北京市 北京市 阿里云,2秒,HTTP
222.74.61.98,2018-12-02 21:30:29,53281,中国 内蒙古 包头 电信,2秒,HTTP
112.253.22.161,2018-12-02 20:33:04,80,中国 山东省 潍坊市 联通,1秒,HTTP
123.139.56.238,2018-12-02 19:33:02,9999,中国 陕西省 西安市 联通,2秒,HTTP
111.47.154.38,2018-12-02 18:31:50,53281,湖北省襄阳市  移动,0.5秒,HTTP
58.247.127.145,2018-12-02 17:32:58,53281,中国 上海市 上海市 联通,3秒,HTTP
58.58.48.138,2018-12-02 16:32:56,53281,中国 山东省 济宁市 电信,3秒,HTTP
183.196.170.247,2018-12-02 15:32:44,9000,中国 河北省 秦皇岛市 移动,3秒,HTTP
223.85.196.75,2018-12-02 14:31:09,9999,中国 四川省 成都市 移动,3秒,HTTP
219.138.138.241,2018-12-02 13:32:15,80,中国 湖北省 黄冈市 电信,1秒,HTTP
117.141.155.243,2018-12-02 12:32:29,53281,中国 广西壮族自治区 南宁市 移动,0.9秒,HTTP
14.29.2.39,2018-12-02 11:32:50,80,中国 广东省 广州市 电信,1秒,HTTP
124.237.83.14,2018-12-02 10:32:49,53281,中国 河北 秦皇岛 电信,2秒,HTTP
120.194.18.90,2018-12-02 09:32:41,81,中国 河南省 郑州市 移动,3秒,HTTP
218.241.234.48,2018-12-02 08:32:48,8080,中国 北京市 北京市 鹏博士,2秒,HTTP
113.65.160.148,2018-12-02 07:32:36,9797,中国 广东 广州 电信,1秒,HTTP
222.217.19.248,2018-12-02 06:32:43,8080,广西壮族自治区柳州市  电信,1秒,HTTP
14.115.107.99,2018-12-02 05:32:41,9797,中国 广东 中山 电信,2秒,HTTP
221.6.201.18,2018-12-02 04:31:49,9999,中国 江苏省 南通市 联通,1秒,HTTP
120.194.18.90,2018-12-02 03:32:42,81,中国 河南省 郑州市 移动,1秒,HTTP
58.17.125.215,2018-12-02 02:31:55,53281,中国 江西省 九江市 联通,1秒,HTTP
103.61.153.100,2018-12-02 01:31:07,53281,中国 北京 北京 电信,1秒,HTTP
14.118.130.213,2018-12-02 00:32:04,8081,中国 广东 深圳 电信,2秒,HTTP
14.115.107.99,2018-12-01 23:32:20,9797,中国 广东 中山 电信,1秒,HTTP
119.57.108.53,2018-12-01 22:32:28,53281,中国 北京市 北京市 联通,2秒,HTTP
123.139.56.238,2018-12-01 21:32:27,9999,中国 陕西省 西安市 联通,3秒,HTTP
163.125.16.198,2018-12-01 20:32:25,8888,中国 广东省 深圳市 联通,2秒,HTTP
14.29.2.40,2018-12-01 19:32:32,80,中国 广东省 广州市 电信,3秒,HTTP
58.17.125.215,2018-12-01 18:32:31,53281,中国 江西省 九江市 联通,1.0秒,HTTP
221.7.255.167,2018-12-01 17:32:24,80,中国 广西 南宁 联通,1秒,HTTP
124.237.83.14,2018-12-01 16:32:27,53281,中国 河北 秦皇岛 电信,3秒,HTTP
163.125.16.198,2018-12-01 15:31:37,8888,中国 广东省 深圳市 联通,1秒,HTTP
163.125.17.63,2018-12-01 14:32:12,8888,广东省深圳市  联通,0.9秒,HTTP
112.253.22.161,2018-12-01 13:32:24,80,中国 山东省 潍坊市 联通,2秒,HTTP
14.118.130.213,2018-12-01 12:32:23,8081,中国 广东 深圳 电信,0.8秒,HTTP
101.89.132.131,2018-12-01 11:32:13,80,上海市  电信,1秒,HTTP
14.221.165.139,2018-12-01 10:31:36,9797,中国 广东 东莞 电信,1秒,HTTP
58.251.234.44,2018-12-01 09:32:15,9797,中国 广东省 深圳市 联通,1秒,HTTP
103.27.24.114,2018-12-01 08:31:37,82,广东省广州市  广电网,0.4秒,HTTP
112.253.22.161,2018-12-01 07:32:04,80,中国 山东省 潍坊市 联通,1秒,HTTP
58.249.55.222,2018-12-01 06:32:10,9797,广东省广州市  联通,1秒,HTTP
183.14.76.15,2018-12-01 05:32:02,9797,中国 广东省 深圳市 电信,1秒,HTTP
113.200.214.164,2018-12-01 04:32:06,9999,中国 陕西 西安 联通,3秒,HTTP
58.243.50.184,2018-12-01 03:31:58,53281,中国 安徽省 六安市 联通,1秒,HTTP
117.141.155.242,2018-12-01 02:32:03,53281,中国 广西壮族自治区 南宁市 移动,1秒,HTTP
117.35.51.66,2018-12-01 01:32:08,53281,中国 陕西 咸阳 电信,2秒,HTTP
124.152.32.140,2018-12-01 00:32:08,53281,中国 甘肃省 武威市 联通,3秒,HTTP
223.85.196.75,2018-11-30 23:32:01,9797,中国 四川省 成都市 移动,0.6秒,HTTP
163.125.16.198,2018-11-30 22:31:34,8888,中国 广东省 深圳市 联通,3秒,HTTP
27.191.234.69,2018-11-30 21:31:56,9999,中国 河北省 唐山市 电信,1秒,HTTP
14.118.130.213,2018-11-30 20:32:01,8081,中国 广东 深圳 电信,3秒,HTTP
124.237.83.14,2018-11-30 19:32:01,53281,中国 河北 秦皇岛 电信,0.5秒,HTTP
115.159.190.87,2018-11-30 18:31:59,80,中国 上海市 上海市 腾讯网络,1秒,HTTP
58.58.48.138,2018-11-30 17:31:55,53281,中国 山东省 济宁市 电信,1秒,HTTP
223.85.196.75,2018-11-30 16:31:57,9999,中国 四川省 成都市 移动,1秒,HTTP
14.20.235.123,2018-11-30 15:31:53,808,中国 广东 中山 电信,1秒,HTTP
112.253.22.161,2018-11-30 14:31:41,80,中国 山东省 潍坊市 联通,0.9秒,HTTP
221.7.255.167,2018-11-30 13:31:48,80,中国 广西 南宁 联通,0.8秒,HTTP
119.188.162.131,2018-11-30 12:31:52,8080,中国 山东省 济南市 联通,2秒,HTTP
123.139.56.238,2018-11-30 11:31:07,9999,中国 陕西省 西安市 联通,1秒,HTTP
218.28.58.150,2018-11-30 10:31:49,53281,中国 河南省 焦作市 联通,2秒,HTTP
106.14.5.129,2018-11-30 09:31:47,80,中国 上海 上海 阿里云,1秒,HTTP
14.155.115.25,2018-11-30 08:31:08,9000,广东省深圳市  电信,3秒,HTTP
111.47.154.38,2018-11-30 07:31:26,53281,湖北省襄阳市  移动,1秒,HTTP
183.196.170.247,2018-11-30 06:31:36,9000,中国 河北省 秦皇岛市 移动,1秒,HTTP
124.237.83.14,2018-11-30 05:31:36,53281,中国 河北 秦皇岛 电信,1秒,HTTP
223.85.196.75,2018-11-30 04:31:40,9999,中国 四川省 成都市 移动,2秒,HTTP
27.46.21.51,2018-11-30 03:31:39,8888,广东省深圳市 全省共用出口 联通,1秒,HTTP
119.57.156.90,2018-11-30 02:31:38,53281,中国 北京市 北京市 联通,1秒,HTTP
222.217.19.248,2018-11-30 01:31:37,8080,广西壮族自治区柳州市  电信,1秒,HTTP
218.241.234.48,2018-11-30 00:31:35,8080,中国 北京市 北京市 鹏博士,1秒,HTTP
120.194.18.90,2018-11-29 23:31:29,81,中国 河南省 郑州市 移动,3秒,HTTP
14.115.107.23,2018-11-29 22:31:32,9797,中国 广东 中山 电信,0.6秒,HTTP
14.221.165.139,2018-11-29 21:30:46,9797,中国 广东 东莞 电信,3秒,HTTP
123.139.56.238,2018-11-29 20:31:26,9999,中国 陕西省 西安市 联通,0.9秒,HTTP
14.29.2.40,2018-11-29 19:31:14,80,中国 广东省 广州市 电信,0.9秒,HTTP
222.217.19.248,2018-11-29 18:30:38,8080,广西壮族自治区柳州市  电信,0.8秒,HTTP
103.61.153.100,2018-11-29 17:30:16,53281,中国 北京 北京 电信,2秒,HTTP
117.141.155.244,2018-11-29 16:31:25,53281,中国 广西壮族自治区 南宁市 移动,1秒,HTTP
103.27.24.114,2018-11-29 15:31:08,81,广东省广州市  广电网,3秒,HTTP
101.231.50.154,2018-11-29 14:31:20,8000,上海市  电信,1秒,HTTP
221.204.119.175,2018-11-29 13:30:49,9797,中国 山西省 太原市 联通,1.0秒,HTTP
119.31.210.170,2018-11-29 12:31:08,7777,中国 河南 平顶山 皓宽网络,1秒,HTTP
221.7.255.167,2018-11-29 11:31:15,80,中国 广西 南宁 联通,2秒,HTTP
222.217.19.248,2018-11-29 10:31:00,8080,广西壮族自治区柳州市  电信,2秒,HTTP
221.204.119.175,2018-11-29 09:31:16,9797,中国 山西省 太原市 联通,3秒,HTTP
124.152.32.140,2018-11-29 08:30:58,53281,中国 甘肃省 武威市 联通,2秒,HTTP
219.138.138.241,2018-11-29 07:30:21,80,中国 湖北省 黄冈市 电信,0.4秒,HTTP
112.95.205.124,2018-11-29 06:30:48,8888,广东省深圳市  联通,1秒,HTTP
222.74.61.98,2018-11-29 05:31:05,53281,中国 内蒙古 包头 电信,2秒,HTTP
14.20.235.107,2018-11-29 04:30:48,9797,中国 广东 中山 电信,0.4秒,HTTP
106.14.5.129,2018-11-29 03:31:04,80,中国 上海 上海 阿里云,3秒,HTTP
119.188.162.154,2018-11-29 02:30:52,8080,中国 山东省 济南市 联通,3秒,HTTP
223.85.196.75,2018-11-29 01:31:03,9797,中国 四川省 成都市 移动,2秒,HTTP
115.159.190.87,2018-11-29 00:30:57,80,中国 上海市 上海市 腾讯网络,3秒,HTTP
112.95.205.77,2018-11-28 23:30:55,8888,广东省深圳市  联通,3秒,HTTP
218.66.253.146,2018-11-28 22:30:54,8800,中国 福建省 莆田市 电信,2秒,HTTP
112.95.205.77,2018-11-28 21:31:06,8888,广东省深圳市  联通,3秒,HTTP
103.27.24.114,2018-11-28 20:31:03,81,广东省广州市  广电网,3秒,HTTP
115.159.190.87,2018-11-28 19:31:46,80,中国 上海市 上海市 腾讯网络,3秒,HTTP
113.65.160.148,2018-11-28 18:31:16,9797,中国 广东 广州 电信,3秒,HTTP
121.69.10.62,2018-11-28 17:30:58,9090,中国 北京市 北京市 鹏博士,3秒,HTTP
14.29.2.37,2018-11-28 16:31:36,80,中国 广东省 广州市 电信,2秒,HTTP
218.75.144.25,2018-11-28 15:31:40,9000,湖南省常德市  电信,3秒,HTTP
113.200.214.164,2018-11-28 14:31:11,9999,中国 陕西 西安 联通,1秒,HTTP
58.58.48.138,2018-11-28 13:31:30,53281,中国 山东省 济宁市 电信,1秒,HTTP
218.75.144.25,2018-11-28 12:31:18,9000,湖南省常德市  电信,3秒,HTTP
59.38.61.149,2018-11-28 11:31:33,9797,中国 广东 珠海 电信,1秒,HTTP
119.57.109.129,2018-11-28 10:31:32,53281,中国 北京市 北京市 联通,3秒,HTTP
219.138.138.241,2018-11-28 09:31:28,80,中国 湖北省 黄冈市 电信,0.8秒,HTTP
119.57.108.109,2018-11-28 08:31:15,53281,中国 北京市 北京市 联通,2秒,HTTP
125.46.0.62,2018-11-28 07:31:28,53281,中国 河南 郑州 联通,1秒,HTTP
112.253.22.161,2018-11-28 06:31:26,80,中国 山东省 潍坊市 联通,0.3秒,HTTP
14.29.2.38,2018-11-28 05:31:24,80,中国 广东 广州 电信,3秒,HTTP
116.18.228.234,2018-11-28 04:31:22,9797,中国 广东省 东莞市 电信,0.5秒,HTTP
103.61.153.100,2018-11-28 03:31:17,53281,中国 北京 北京 电信,1.0秒,HTTP
123.56.151.10,2018-11-28 02:30:50,9999,中国 北京市 北京市 阿里云,1秒,HTTP
116.18.228.234,2018-11-28 01:31:10,9797,中国 广东省 东莞市 电信,1秒,HTTP
124.152.32.140,2018-11-28 00:31:16,53281,中国 甘肃省 武威市 联通,2秒,HTTP
115.233.210.218,2018-11-27 23:30:11,808,中国 浙江省 杭州市 电信,3秒,HTTP
218.28.58.150,2018-11-27 22:31:06,53281,中国 河南省 焦作市 联通,3秒,HTTP
117.141.155.243,2018-11-27 21:31:09,53281,中国 广西壮族自治区 南宁市 移动,1秒,HTTP
